MMM,3M Company,NASDAQ,100856591651.36
ABT,Abbott Laboratories,NASDAQ,100856591652.36
ABBV,AbbVie,NASDAQ,100856591653.36
ACN,Accenture plc,NASDAQ,100856591654.36
ATVI,Activision Blizzard,NASDAQ,100856591655.36
AYI,Acuity Brands Inc,NASDAQ,100856591656.36
ADBE,Adobe Systems Inc,NASDAQ,100856591657.36
AAP,Advance Auto Parts,NASDAQ,100856591658.36
AES,AES Corp,NASDAQ,100856591659.36
AET,Aetna Inc,NASDAQ,100856591660.36
AMG,Affiliated Managers Group Inc,NASDAQ,100856591661.36
AFL,AFLAC Inc,NASDAQ,100856591662.36
A,Agilent Technologies Inc,NASDAQ,100856591663.36
APD,Air Products & Chemicals Inc,NASDAQ,100856591664.36
AKAM,Akamai Technologies Inc,NASDAQ,100856591665.36
ALK,Alaska Air Group Inc,NASDAQ,100856591666.36
ALB,Albemarle Corp,NASDAQ,100856591667.36
ALXN,Alexion Pharmaceuticals,NASDAQ,100856591668.36
ALLE,Allegion,NASDAQ,100856591669.36
AGN,Allergan Plc,NASDAQ,100856591670.36
ADS,Alliance Data Systems,NASDAQ,100856591671.36
LNT,Alliant Energy Corp,NASDAQ,100856591672.36
ALL,Allstate Corp,NASDAQ,100856591673.36
MO,Altria Group Inc,NASDAQ,100856591676.36
AEE,Ameren Corp,NASDAQ,100856591678.36
AAL,American Airlines Group,NASDAQ,100856591679.36
AEP,American Electric Power,NASDAQ,100856591680.36
AXP,American Express Co,NASDAQ,100856591681.36
AIG,American International Group Inc.,NASDAQ,100856591682.36
AMT,American Tower Corp A,NASDAQ,100856591683.36
AWK,American Water Works Company Inc,NASDAQ,100856591684.36
AMP,Ameriprise Financial,NASDAQ,100856591685.36
ABC,AmerisourceBergen Corp,NASDAQ,100856591686.36
AME,AMETEK Inc,NASDAQ,100856591687.36
AMGN,Amgen Inc,NASDAQ,100856591688.36
APH,Amphenol Corp,NASDAQ,100856591689.36
APC,Anadarko Petroleum Corp,NASDAQ,100856591690.36
ADI,Analog Devices Inc.,NASDAQ,100856591691.36
ANTM,Anthem Inc.,NASDAQ,100856591692.36
AON,Aon plc,NASDAQ,100856591693.36
APA,Apache Corporation,NASDAQ,100856591694.36
AIV,Apartment Investment & Mgmt,NASDAQ,100856591695.36
AMAT,Applied Materials Inc,NASDAQ,100856591697.36
ADM,Archer-Daniels-Midland Co,NASDAQ,100856591698.36
ARNC,Arconic Inc,NASDAQ,100856591699.36
AJG,Arthur J. Gallagher & Co.,NASDAQ,100856591700.36
AIZ,Assurant Inc,NASDAQ,100856591701.36
T,AT&T Inc,NASDAQ,100856591702.36
ADSK,Autodesk Inc,NASDAQ,100856591703.36
ADP,Automatic Data Processing,NASDAQ,100856591704.36
AN,AutoNation Inc,NASDAQ,100856591705.36
AZO,AutoZone Inc,NASDAQ,100856591706.36
AVB,AvalonBay Communities Inc.,NASDAQ,100856591707.36
AVY,Avery Dennison Corp,NASDAQ,100856591708.36
BHI,Baker Hughes Inc,NASDAQ,100856591709.36
BLL,Ball Corp,NASDAQ,100856591710.36
BAC,Bank of America Corp,NASDAQ,100856591711.36
BCR,Bard (C.R.) Inc.,NASDAQ,100856591712.36
BAX,Baxter International Inc.,NASDAQ,100856591713.36
BBT,BB&T Corporation,NASDAQ,100856591714.36
BDX,Becton Dickinson,NASDAQ,100856591715.36
BBBY,Bed Bath & Beyond,NASDAQ,100856591716.36
BRK.B,Berkshire Hathaway,NASDAQ,100856591717.36
BBY,Best Buy Co. Inc.,NASDAQ,100856591718.36
BIIB,BIOGEN IDEC Inc.,NASDAQ,100856591719.36
BLK,BlackRock,NASDAQ,100856591720.36
HRB,Block H&R,NASDAQ,100856591721.36
BA,Boeing Company,NASDAQ,100856591722.36
BWA,BorgWarner,NASDAQ,100856591723.36
BXP,Boston Properties,NASDAQ,100856591724.36
BSX,Boston Scientific,NASDAQ,100856591725.36
BMY,Bristol-Myers Squibb,NASDAQ,100856591726.36
AVGO,Broadcom,NASDAQ,100856591727.36
BF.B,Brown-Forman Corp.,NASDAQ,100856591728.36
CHRW,C. H. Robinson Worldwide,NASDAQ,100856591729.36
CA,CA Inc.,NASDAQ,100856591730.36
COG,Cabot Oil & Gas,NASDAQ,100856591731.36
CPB,Campbell Soup,NASDAQ,100856591732.36
COF,Capital One Financial,NASDAQ,100856591733.36
CAH,Cardinal Health Inc.,NASDAQ,100856591734.36
KMX,Carmax Inc,NASDAQ,100856591735.36
CCL,Carnival Corp.,NASDAQ,100856591736.36
